Vakances_Nr,Aktualizacijas_datums,Iestades_registracijas_numurs,Vakances_nosaukums,Vakances_kategorija,Alga_no,Alga_lidz,Slodzes_tips,Darba_laika_veids,Darba_stundas_nedela,Pieteiksanas_termins,Attels,Vieta,Vakances_paplasinats_apraksts
260107-127,2026-01-07,44103015509,LOĢISTIKAS SPECIĀLISTS,Lauksaimniecība / Vide,1450.000,1450.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-20,"","Rīgas iela 32, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438038207
260113-161,2026-01-13,40003575567,RELEJU AIZSARDZĪBAS UN AUTOMĀTIKAS INŽENIERIS,Elektronika / Enerģētika / Elektroenerģija,2300.000,2660.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-26,"","Dārzciema iela 86, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438693192
260113-158,2026-01-13,40003575567,VIRPOTĀJS,Elektronika / Enerģētika / Elektroenerģija,1509.000,1775.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-27,"","Dārzciema iela 86, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438692440
251126-53,2026-01-05,40900000578,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,2000.000,2000.000,Nepilna slodze,Normālais darba laiks,"",2026-02-25,"","Avotu iela 2, Lielvārde, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/434640901
260107-138,2026-01-07,40900000578,MĀSA/ vispārējās aprūpes MĀSA bērnu aprūpē,Izglītība / Zinātne,965.000,1025.000,Viena vesela slodze,Normālais darba laiks,"",2026-03-31,"","Avotu iela 2, Lielvārde, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438044790
251229-1,2025-12-29,40900040335,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1570.000,1570.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-30,"","Veselības iela 7, Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/437352320
250721-12,2025-07-21,40900040335,SKOLOTĀJS LOGOPĒDS,Izglītība / Zinātne,1260.000,1260.000,Viena vesela slodze,Normālais darba laiks,30,2026-01-30,"","Veselības iela 7, Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421158537
251229-2,2025-12-29,40900040335,Izglītības un skolu PSIHOLOGS,Izglītība / Zinātne,1260.000,1260.000,"","",30,2026-01-30,"","Veselības iela 7, Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/437352334
260112-8,2026-01-12,40900040335,PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,Izglītība / Zinātne,1570.000,1570.000,"",Normālais darba laiks,40,2026-01-30,"","Veselības iela 7, Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438419086
260116-37,2026-01-16,40003344207,SATIKSMES ORGANIZĀCIJAS INŽENIERIS,Būvniecība / Nekustamais īpašums,1900.000,2200.000,"","","",2026-01-30,"","Emīlijas Benjamiņas iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/439037840
260114-31,2026-01-14,40003286750,ENERGOSISTĒMU TEHNIĶIS,Elektronika / Enerģētika / Elektroenerģija,2100.000,2430.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-31,"","Atlantijas iela 51, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438736045
260112-71,2026-01-12,40003286750,ELEKTROINŽENIERIS,Elektronika / Enerģētika / Elektroenerģija,1900.000,2130.000,Viena vesela slodze,Summētais darba laiks,40,2026-01-28,"","Kurzemes prospekts 17, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438487270
260114-109,2026-01-14,90000022632,VECĀKAIS REFERENTS,Valsts pārvalde,1721.000,2023.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-28,"","Krišjāņa Valdemāra iela 10/12, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438805931
260114-110,2026-01-14,90000022632,VECĀKAIS EKSPERTS,Valsts pārvalde,1856.000,2149.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-28,"","Krišjāņa Valdemāra iela 10/12, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438806476
260108-123,2026-01-08,90000056357,PROJEKTA VADĪTĀJS,Valsts pārvalde,1899.000,1899.000,Viena vesela slodze,"","",2026-01-21,"","Straumes iela 1A, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/438206311
260108-120,2026-01-08,90000056357,JURISTS,Valsts pārvalde,1899.000,2103.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-21,"","Jomas iela 1/5, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/438203562
260115-136,2026-01-16,90000056357,VECĀKAIS REFERENTS,Valsts pārvalde,1848.000,2077.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-29,"","Straumes iela 1A, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/438986182
251125-50,2025-11-25,90009114839,BĀRIŅTIESAS PRIEKŠSĒDĒTĀJS,Cita,1470.000,1470.000,Viena vesela slodze,"","",2026-01-31,"","Semināra iela 9, Valka, Valkas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/434492597
260106-71,2026-01-06,90000067986,VIDES AIZSARDZĪBAS VECĀKAIS SPECIĀLISTS,Lauksaimniecība / Vide,1599.000,1999.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-21,"","Institūta iela 1, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/437819536
260107-117,2026-01-07,90000067986,PAVĀRS,Ēdināšana / Pārtikas rūpniecība,858.000,858.000,Viena vesela slodze,"",40,2026-01-28,"","Smilšu iela 2, Vangaži, Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438030850
260107-118,2026-01-07,90000067986,PAVĀRS,Izglītība / Zinātne,858.000,858.000,Viena vesela slodze,"",40,2026-01-28,"","Smilšu iela 2, Vangaži, Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438030944
260107-156,2026-01-07,90000067986,PROJEKTA VADĪTĀJS,Valsts pārvalde,1619.000,1799.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-21,"","Institūta iela 1A, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438054460
260107-191,2026-01-07,90000067986,REMONTSTRĀDNIEKS,Valsts pārvalde,835.000,835.000,Viena vesela slodze,"","",2026-01-22,"","Centra iela 4, Ropaži, Ropažu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438074497
260108-88,2026-01-08,90000067986,JURISTS,Valsts pārvalde,1739.000,2174.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-22,"","Institūta iela 1A, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438175090
260108-87,2026-01-08,90000067986,IEPIRKUMU SPECIĀLISTS,Jurisprudence / Tieslietas,1746.000,2021.000,Viena vesela slodze,"","",2026-01-22,"","Institūta iela 1A, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438174701
260109-86,2026-01-09,90000067986,VECĀKAIS GRĀMATVEDIS,Bankas / Apdrošināšana / Finanses/Grāmatvedība,1439.000,1799.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-25,"","Institūta iela 1, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438340096
251208-94,2025-12-08,90000067986,SPECIĀLAIS PEDAGOGS,Izglītība / Zinātne,1283.000,1283.000,Viena vesela slodze,Normālais darba laiks,30,2026-02-01,"","Mediķu iela 4, Langstiņi, Garkalnes pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/435909557
260105-110,2026-01-05,90000067986,APKOPĒJS,Valsts pārvalde,780.000,780.000,Viena vesela slodze,"","",2026-01-18,"","Sporta iela 2 k-1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437691761
260106-70,2026-01-06,90000067986,Energosistēmu INŽENIERIS/ EnergoPĀRVALDNIEKS,Elektronika / Enerģētika / Elektroenerģija,2022.000,2246.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-21,"","Institūta iela 1, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/437818862
260107-114,2026-01-07,40900038010,PADOMNIEKS (KONSULTANTS),Vadība / Administrēšana,2500.000,2700.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-30,"","Jūras iela 36, Ventspils",https://cvvp.nva.gov.lv/#/pub/vakances/438027162
260114-84,2026-01-14,40003359306,EKONOMISTS,Pakalpojumi,1800.000,1800.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-06,"","Rāmavas iela 17, Rāmava, Ķekavas pag., Ķekavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438787220
251217-51,2025-12-17,40900014084,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1635.000,1635.000,"","","",2026-01-31,"","Nīcgales iela 15, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/436817017
251217-54,2025-12-17,40900014084,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1635.000,1635.000,"","","",2026-01-31,"","Nīcgales iela 15, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/436817196
260112-64,2026-01-12,90009612809,PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS (VALSTS PĀRVALDES JOMĀ),Izglītība / Zinātne,1962.000,2164.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-25,"","Vadu iela 3, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438483732
260112-153,2026-01-12,90002137506,Zinātniskais ASISTENTS,Lauksaimniecība / Vide,6.000,12.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-09,"","Zinātnes iela 2, Priekuļi, Priekuļu pag., Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438556070
251230-15,2025-12-30,90000022399,VECĀKAIS EKSPERTS,Vadība / Administrēšana,2296.000,2551.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-19,"","Vaļņu iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437478040
260113-193,2026-01-13,90000022399,VECĀKAIS EKSPERTS,Vadība / Administrēšana,1948.000,2165.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-23,"","Vaļņu iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438701490
251229-75,2025-12-29,40900012011,APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,780.000,780.000,Viena vesela slodze,Summētais darba laiks,40,2026-01-30,"","Daugavas iela 1, Aizkraukle, Aizkraukles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/437426335
251229-72,2025-12-29,40900012011,SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Valsts pārvalde,1423.000,1423.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-30,"","Daugavas iela 1, Aizkraukle, Aizkraukles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/437425381
260113-37,2026-01-13,90001037264,JURISKONSULTS,Valsts pārvalde,1484.000,1856.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-26,"","Elijas iela 17, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438612400
260113-42,2026-01-13,90001037264,JURISKONSULTS,Valsts pārvalde,1484.000,1856.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-26,"","Elijas iela 17 - 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438615951
260108-73,2026-01-08,90001836181,VECĀKAIS EKSPERTS,Valsts pārvalde,1633.000,2178.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-28,"","Jersikas iela 15, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438163777
260108-74,2026-01-08,90001836181,VECĀKAIS EKSPERTS,Valsts pārvalde,1393.000,1858.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-28,"","Jersikas iela 15, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438164123
260108-76,2026-01-08,90001836181,VECĀKAIS EKSPERTS,Valsts pārvalde,1393.000,1858.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-28,"","Jersikas iela 15, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438164822
260107-164,2026-01-07,90000069830,INFORMĀCIJAS TEHNOLOĢIJU STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS,Valsts pārvalde,2703.000,3180.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-30,"","Lāčplēša iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438057277
260116-4,2026-01-16,90000069830,INTERVĒTĀJS,Valsts pārvalde,900.000,1059.000,Viena vesela slodze,Normālais darba laiks,40,2026-02-02,"","Lāčplēša iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/439004695
260113-128,2026-01-13,90000025446,PIRMSSKOLAS IZGLĪTĪBAS SPORTA SKOLOTĀJS,Izglītība / Zinātne,978.750,978.750,"",Normālais darba laiks,"",2026-01-27,"","J. Tiņanova iela 31A, Rēzekne",https://cvvp.nva.gov.lv/#/pub/vakances/438677363
260105-243,2026-01-13,90000025446,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,861.300,861.300,Nepilna slodze,Nepilnais darba laiks,22,2026-02-02,"","Kr. Valdemāra iela 2, Rēzekne",https://cvvp.nva.gov.lv/#/pub/vakances/437748989
251125-25,2025-12-22,90000025446,SABIEDRĪBAS VESELĪBAS SPECIĀLISTS,Veselības aprūpe / Sociālā aprūpe,844.000,844.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-30,"","Kr. Valdemāra iela 18, Rēzekne",https://cvvp.nva.gov.lv/#/pub/vakances/434480113
260105-216,2026-01-05,90000025446,SABIEDRĪBAS VESELĪBAS SPECIĀLISTS,Pakalpojumi,844.000,844.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-19,"","Kr. Valdemāra iela 3A, Rēzekne",https://cvvp.nva.gov.lv/#/pub/vakances/437736467
260105-228,2026-01-05,90000025446,SKOLOTĀJS LOGOPĒDS,Izglītība / Zinātne,235.000,235.000,Nepilna slodze,Nepilnais darba laiks,6,2026-01-19,"","Kr. Valdemāra iela 3A, Rēzekne",https://cvvp.nva.gov.lv/#/pub/vakances/437744645
251212-24,2026-01-09,90000025446,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1410.000,1410.000,Nepilna slodze,Nepilnais darba laiks,13,2026-02-05,"","Kosmonautu iela 6, Rēzekne",https://cvvp.nva.gov.lv/#/pub/vakances/436393812
260115-105,2026-01-15,90000025446,SABIEDRĪBAS VESELĪBAS SPECIĀLISTS,Pakalpojumi,844.000,844.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-10,"","Lubānas iela 49, Rēzekne",https://cvvp.nva.gov.lv/#/pub/vakances/438964887
260106-196,2026-01-06,90011624624,MĀSA/ vispārējās aprūpes MĀSA,Izglītība / Zinātne,298.500,298.500,Nepilna slodze,"","",2026-02-08,"","Vārnu iela 13A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437902846
260106-170,2026-01-06,90011624624,ASISTENTS PERSONĀM AR INVALIDITĀTI,Izglītība / Zinātne,780.000,780.000,Viena vesela slodze,"","",2026-02-08,"","Vārnu iela 13A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437890286
260106-168,2026-01-06,90011624624,SKOLOTĀJS LOGOPĒDS,Izglītība / Zinātne,723.800,723.800,Nepilna slodze,Nepilnais darba laiks,"",2026-02-08,"","Vārnu iela 13A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437889396
260106-194,2026-01-06,90011624624,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1566.000,1566.000,"","","",2026-02-06,"","Vārnu iela 13A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437902310
251230-36,2025-12-30,40900008425,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1566.000,1566.000,Nepilna slodze,"","",2026-01-31,"","Salaspils iela 10, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437508383
251201-156,2026-01-15,40900017339,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1566.000,1566.000,Viena vesela slodze,"","",2026-02-10,"","Kalnliepas, Tīnūži, Tīnūžu pag., Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/435120268
251108-16,2025-11-20,90000040549,KAREIVIS /MATROZIS (JŪRAS SPĒKOS),Drošība / Glābšanas dienesti / Aizsardzība,1400.000,1400.000,"","","",2026-02-07,"","Stāmerienas pamatskola, Vecstāmeriena, Stāmerienas pag., Gulbenes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/433130244
260109-93,2026-01-09,90000040549,SABIEDRISKO ATTIECĪBU SPECIĀLISTS,Drošība / Glābšanas dienesti / Aizsardzība,1510.000,1797.000,Viena vesela slodze,"","",2026-02-04,"","Cēsu iela 54, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438344324
260115-130,2026-01-15,90000040549,ADMINISTRATORS,Drošība / Glābšanas dienesti / Aizsardzība,1292.000,1407.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-25,"","Ceri, Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438984328
260115-129,2026-01-16,90000040549,MANTZINIS,Drošība / Glābšanas dienesti / Aizsardzība,1292.000,1407.000,"","","",2026-01-25,"","Ceri, Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438983472
251127-36,2025-11-27,40900004739,SKOLOTĀJS LOGOPĒDS,Izglītība / Zinātne,1194.000,1313.000,Viena vesela slodze,Normālais darba laiks,30,2026-01-31,"","Ulbrokas vidusskola, Vālodzes, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/434742847
251201-59,2025-12-01,90000047814,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1600.000,1600.000,Viena vesela slodze,"","",2026-01-31,"","Skolas iela 12, Upeslejas, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/435016028
251201-62,2025-12-01,90000047814,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1600.000,1600.000,Nepilna slodze,"","",2026-01-31,"","Skolas iela 12, Upeslejas, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/435018846
251201-74,2025-12-01,90000047814,PEDAGOGS KARJERAS KONSULTANTS,Izglītība / Zinātne,1600.000,1600.000,Nepilna slodze,"","",2026-01-31,"","Skolas iela 12, Upeslejas, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/435025744
251201-68,2025-12-01,90000047814,SOCIĀLAIS PEDAGOGS,Izglītība / Zinātne,1330.000,1330.000,Nepilna slodze,Normālais darba laiks,"",2026-01-31,"","Skolas iela 12, Upeslejas, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/435023582
260117-25,2026-01-17,90000031048,JURISTS,Cita,1610.000,1610.000,"","","",2026-01-31,"","Raunas iela 4, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/439176355
260116-76,2026-01-16,90000031048,BĀRIŅTIESAS LOCEKLIS,Cita,1700.000,1700.000,"","","",2026-02-02,"","Bērzaines iela 16/18, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/439071290
260116-75,2026-01-16,90000031048,BĀRIŅTIESAS PRIEKŠSĒDĒTĀJA VIETNIEKS,Cita,1987.000,1987.000,"","","",2026-02-02,"","Bērzaines iela 16/18, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/439070771
260117-8,2026-01-17,90000031048,Bāriņtiesas PRIEKŠSĒDĒTĀJA PALĪGS,Cita,1272.000,1272.000,"","","",2026-02-06,"","Bērzaines iela 16/18, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/439151369
260117-11,2026-01-17,90000031048,Bāriņtiesas sēžu sekretārs,Cita,1272.000,1272.000,"","","",2026-02-06,"","Bērzaines iela 16/18, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/439152199
251230-57,2025-12-30,90000031048,ĢEOGRĀFISKĀS INFORMĀCIJAS SISTĒMAS SPECIĀLISTS,Cita,1610.000,1610.000,"","","",2026-01-18,"","Raunas iela 8, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/437535612
251205-88,2026-01-08,42403000932,REMONTATSLĒDZNIEKS,Pakalpojumi,970.000,970.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-23,"","Liepu iela 2C, Viļāni, Rēzeknes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/435718886
251205-86,2026-01-08,42403000932,NAMU PĀRZINIS,Pakalpojumi,1100.000,1100.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-23,"","Brīvības iela 6, Malta, Maltas pag., Rēzeknes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/435718711
251205-87,2026-01-08,42403000932,REMONTSTRĀDNIEKS,Pakalpojumi,790.000,790.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-23,"","Strūžāni, Stružānu pag., Rēzeknes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/435718773
251205-91,2026-01-08,42403000932,BŪVINŽENIERIS,Būvniecība / Nekustamais īpašums,750.000,750.000,Nepilna slodze,Normālais darba laiks,"",2026-01-23,"","Brīvības iela 6, Malta, Maltas pag., Rēzeknes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/435719006
251205-89,2026-01-08,42403000932,ELEKTRIĶIS,Elektronika / Enerģētika / Elektroenerģija,840.000,840.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-23,"","Brīvības iela 6, Malta, Maltas pag., Rēzeknes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/435718939
260115-51,2026-01-15,90000065595,SOCIĀLĀ DIENESTA VADĪTĀJA VIETNIEKS,Veselības aprūpe / Sociālā aprūpe,1400.000,1400.000,Viena vesela slodze,"","",2026-01-30,"","Rīgas iela 77, Līvāni, Līvānu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438919404
260116-89,2026-01-16,90000065595,VADĪTĀJA VIETNIEKS /IZPILDDIREKTORS (KULTŪRAS JOMĀ),Kultūra / Māksla,1391.000,1391.000,Viena vesela slodze,"","",2026-01-30,"","Rīgas iela 105, Līvāni, Līvānu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/439090968
260107-173,2026-01-07,44103058086,MĀSA/ vispārējās aprūpes MĀSA anestēzijā un intensīvajā aprūpē,Veselības aprūpe / Sociālā aprūpe,7.120,7.120,"",Summētais darba laiks,"",2026-02-28,"","Vidzemes iela 2, Balvi, Balvu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438063792
260107-175,2026-01-07,44103058086,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,7.120,7.120,"","","",2026-02-28,"","Vidzemes iela 2, Balvi, Balvu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438064517
260113-136,2026-01-13,90001733697,INFORMĀCIJAS TEHNOLOĢIJU (IT) PAKALPOJUMU VADĪTĀJS,Valsts pārvalde,2701.000,3377.000,Viena vesela slodze,Normālais darba laiks,40,2026-02-08,"","Alberta iela 10, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438679777
260112-111,2026-01-12,90001733697,INFORMĀCIJAS TEHNOLOĢIJU (IT) PAKALPOJUMU VADĪTĀJS,Valsts pārvalde,2701.000,3377.000,Viena vesela slodze,Normālais darba laiks,40,2026-02-08,"","Alberta iela 10, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438534059
260112-112,2026-01-12,90001733697,SISTĒMANALĪTIĶIS,Valsts pārvalde,2701.000,3377.000,Viena vesela slodze,Normālais darba laiks,40,2026-02-08,"","Alberta iela 10, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438534335
251229-32,2025-12-29,90002129621,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (IZGLĪTĪBAS JOMĀ),Izglītība / Zinātne,2400.000,3500.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-05,"","Voleru iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437380661
260112-143,2026-01-12,90000019505,SABIEDRISKO ATTIECĪBU SPECIĀLISTS,Izglītība / Zinātne,1271.000,1271.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-25,"","Muižas iela 4, Malnava, Malnavas pag., Ludzas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438554225
251105-47,2026-01-05,40900000563,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1600.000,1600.000,Viena vesela slodze,"","",2026-02-05,"","Gaismas iela 17, Lielvārde, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/432722451
260112-126,2026-01-12,40003028055,LIDOSTAS AVIODROŠĪBAS DIENESTA DARBINIEKS,Drošība / Glābšanas dienesti / Aizsardzība,6.800,7.200,Viena vesela slodze,Maiņu darbs,"",2026-01-26,"","Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438545885
260115-137,2026-01-15,40900041735,FINANŠU DIREKTORS,Vadība / Administrēšana,2240.000,2718.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-25,"","Talejas iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438986304
260113-112,2026-01-13,40003022705,VECĀKAIS INSPEKTORS,Transports / Loģistika,1850.000,1910.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-30,"","Katrīnas iela 2A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438666818
260108-104,2026-01-08,90001262884,SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Veselības aprūpe / Sociālā aprūpe,1700.000,1870.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-06,"","Kalnu iela 2, Salaspils, Salaspils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438186918
260108-105,2026-01-08,90001262884,SOCIĀLAIS DARBINIEKS,Veselības aprūpe / Sociālā aprūpe,1500.000,1650.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-06,"","Kalnu iela 2, Salaspils, Salaspils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438187360
260106-19,2026-01-06,90000074812,GRĀMATVEDIS (TREŠĀ LĪMEŅA KVALIFIKĀCIJA),Valsts pārvalde,1314.000,1314.000,"","","",2026-01-20,"","Aizkraukle, Aizkraukles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/437784302
260113-50,2026-01-13,90000074812,EKONOMISTS,Valsts pārvalde,1739.000,1739.000,"","","",2026-01-25,"",Aizkraukles nov.,https://cvvp.nva.gov.lv/#/pub/vakances/438626010
